번호	이름	성별	국어	영어	수학
001	강민경	여	88	86	76
002	강순애	여	94	79	60
003	강영하	남	55	47	83
004	강혜정	여	89	76	78
005	권명숙	여	88	73	61
006	권석규	남	78	74	66
007	권성현	남	79	83	74
008	권수하	여	66	73	79
009	권은서	여	86	76	68
010	권정환	남	85	69	76
011	권호남	남	64	77	65
012	김영철	남	95	74	82
013	김혜령	여	94	89	79
014	노미희	여	89	89	78
015	노상일	남	92	81	69
016	노정자	여	84	89	57
017	노태욱	남	85	74	77
018	노태일	남	95	78	75
019	박성남	남	86	72	71
020	박수희	여	80	92	80
021	박정일	남	80	67	55
022	방수남	남	94	82	67
023	방양순	여	66	89	54
024	방혜정	여	92	89	79
025	배정자	여	88	89	81
026	백기영	남	80	84	77
027	백의수	남	87	75	79
028	백찬진	남	79	76	65
029	백호남	남	74	80	85
030	서재상	남	78	81	85
031	서찬희	여	86	91	80
032	서철수	남	89	61	62
033	성동석	남	80	65	75
034	성수하	여	90	84	81
035	성영하	남	66	75	74
036	성혜령	여	95	90	80
037	손영애	여	88	84	84
038	손옥자	여	69	78	67
039	손의일	남	67	52	79
040	손희선	여	94	88	82
041	송정원	여	64	84	47
042	양경규	남	90	71	69
043	양수정	여	74	57	73
044	왕민석	남	80	76	82
045	왕보라	여	94	88	81
046	왕윤택	남	84	80	67
047	왕정원	여	95	86	81
048	왕정원	여	94	90	75
049	왕주용	여	87	74	65
050	왕태림	남	95	81	78
051	이미자	여	68	65	64
052	이미희	여	63	92	80
053	이영삼	남	90	77	84
054	이은숙	여	72	58	57
055	이태욱	남	87	75	79
056	임길자	여	88	89	83
057	임성남	남	88	84	82
058	임혜연	여	90	91	77
059	전명숙	여	83	87	77
060	전미자	여	88	88	80
061	전민식	남	89	64	51
062	전성기	남	89	66	78
063	전연정	여	71	55	82
064	전의철	남	89	83	61
065	전주희	여	75	53	62
066	전현철	남	75	50	70
067	전희정	여	64	92	76
068	정민식	남	56	77	61
069	정수정	여	57	60	74
070	정순애	여	82	84	70
071	정윤택	남	85	81	79
072	정정환	남	95	60	66
073	정주민	여	91	92	75
074	정찬희	여	92	90	75
075	정희숙	여	89	79	74
076	조경규	남	94	80	82
077	조명희	여	94	84	79
078	조상규	남	73	81	65
079	조석규	남	91	74	65
080	조영수	남	91	82	82
081	조영준	남	77	84	74
082	조은숙	여	92	90	78
083	조현빈	남	82	68	76
084	주경식	남	88	82	70
085	채상일	남	87	74	82
086	채영애	여	71	91	51
087	채은광	남	95	83	75
088	채찬진	남	95	49	84
089	최영희	여	56	65	76
090	최재상	남	89	78	83
091	최희정	여	90	86	80
092	하길자	여	81	79	46
093	하상규	남	87	75	84
094	하연정	여	77	62	85
095	하의병	남	77	72	71
096	하혜연	여	86	86	71
097	한경규	남	86	84	85
098	한수정	여	93	87	77
099	한의병	남	83	59	63
100	한정희	여	83	78	52
